actor_name,tier
Rob Paulsen,1
Illeana Douglas,1
Brittany Daniel,1
Jerry Stiller,1
50 Cent,1
Quentin Tarantino,1
Quinton Aaron,1
Christina Milian,1
Brady Corbet,1
Rebecca De Mornay,1
Fionnula Flanagan,1
Jack Warden,1
Rosemarie DeWitt,1
Burt Young,1
Jürgen Prochnow,1
Michael Gough,1
Rafe Spall,1
Lisa Ann Walter,1
Jeanne Tripplehorn,1
Jason Patric,1
Stephanie Szostak,1
Ramon Rodriguez,1
Karen Allen,1
Jesse McCartney,1
Verne Troyer,1
Ben Gazzara,1
Michael Rispoli,1
Rachael Harris,1
A.J. Buckley,1
Armando Riesco,1
Daryl Sabara,1
Estella Warren,1
Jeff Garlin,1
Bruce Davison,1
Miranda Otto,1
Mathieu Amalric,1
Denis Leary,1
Julian Glover,1
Noel Fisher,1
Omar Benson Miller,1
Adrian Martinez,1
Rosie Perez,1
Nonso Anozie,1
Brandon T. Jackson,1
Cara Delevingne,1
Joely Richardson,1
Rami Malek,1
Lukas Haas,1
Garry Shandling,1
Bella Thorne,1
Alex Borstein,1
Michael Imperioli,1
Wanda Sykes,1
Jean Simmons,1
Rory Kinnear,1
Armin Mueller-Stahl,1
Warren Beatty,1
Peter Mensah,1
Richard Coyle,1
Cécile De France,1
Sean Harris,1
Jenifer Lewis,1
Emma Watson,1
D.B. Sweeney,1
Bernard Hill,1
Joe Don Baker,1
William Smith,1
Vincent Schiavelli,1
Mary Kay Place,1
Kylie Minogue,1
Craig Roberts,1
Katrina Bowden,1
Hill Harper,1
Nora Zehetner,1
Conchata Ferrell,1
Matt Jones,1
Kate Burton,1
Lily James,1
Scout Taylor-Compton,1
Mary McDonnell,1
Thomas Mitchell,1
Anna Friel,1
Aidan Turner,1
Temuera Morrison,1
Tyler Mane,1
Julian Morris,1
John de Lancie,1
Ingrid Bolsø Berdal,1
Bobb'e J. Thompson,1
Vincent Gallo,1
Dany Boon,1
Ariana Richards,1
Kate del Castillo,1
Ezra Miller,1
Jed Brophy,1
Laura Ramsey,1
Felicity Huffman,1
Kevin Dillon,1
Jennifer Hudson,1
Adam Arkin,1
Richard Burton,1
Peter Capaldi,1
Spencer Tracy,1
Mireille Enos,1
Moritz Bleibtreu,1
Tom Selleck,1
Rick Gonzalez,1
Christopher Heyerdahl,1
Dylan Moran,1
Joseph Cotten,1
Maggie Cheung,1
Eric Dane,1
J.B. Smoove,1
Vincent Regan,1
Debbie Reynolds,1
Randall Park,1
Aasif Mandvi,1
Scott Mechlowicz,1
Jake Weber,1
Matt Craven,1
Shelley Duvall,1
Sam Waterston,1
Bonnie Hunt,1
Sophia Myles,1
Jim Parsons,1
Sandra Ellis Lafferty,1
Pruitt Taylor Vince,1
Rupert Evans,1
Taran Killam,1
David Patrick Kelly,1
Robert Picardo,1
David Zayas,1
Chris Pontius,1
Erick Avari,1
Abigail Spencer,1
P.J. Soles,1
Indira Varma,1
S. Epatha Merkerson,1
Dania Ramirez,1
Jason London,1
Fred Gwynne,1
Shah Rukh Khan,1
Alice Krige,1
Billy Boyd,1
Alden Ehrenreich,1
Ming-Na Wen,1
Tim Daly,1
Alex Russell,1
Jay Mohr,1
Tom Hollander,1
Benedict Wong,1
James D'Arcy,1
Leon,1
Samantha Mathis,1
Valeria Golino,1
Gregory Smith,1
Lucas Grabeel,1
Lee Marvin,1
William McNamara,1
Marian Seldes,1
Maximilian Schell,1
Lauren German,1
Oliver Reed,1
Jason Alexander,1
Penelope Wilton,1
Adam Garcia,1
Geoffrey Arend,1
Cheryl Hines,1
Michael Nyqvist,1
Enrico Colantoni,1
Nancy O'Dell,1
Franco Nero,1
Chris Brown,1
Robert Ri'chard,1
Lesley Manville,1
Romola Garai,1
Stephen Collins,1
Eva Amurri Martino,1
Dylan Walsh,1
Merritt Wever,1
Joel McHale,1
Anthony LaPaglia,1
Demián Bichir,1
