director_name,tier
Mark Herman,1
Brian Koppelman,1
Michael Mayer,1
Michael O. Sajbel,1
Vic Armstrong,1
Terry Zwigoff,1
David Schwimmer,1
Takashi Shimizu,1
Tim Blake Nelson,1
Marcus Raboy,1
Claude Chabrol,1
James Marsh,1
Jessie Nelson,1
Kevin Greutert,1
Richard Schenkman,1
Jon Cassar,1
Anne Fontaine,1
Tony Goldwyn,1
C. Jay Cox,1
Preston A. Whitmore II,1
Kevin Spacey,1
Robert Harmon,1
Harry Elfont,1
Christopher Smith,1
Larry Clark,1
George Gallo,1
Jamie Babbit,1
Wayne Kramer,1
Herbert Ross,1
Mario Van Peebles,1
Teddy Chan,1
Whit Stillman,1
Rowdy Herrington,1
J. Lee Thompson,1
Vincent Gallo,1
Uli Edel,1
Tom McCarthy,1
Youssef Delara,1
Gregor Jordan,1
Mark Romanek,1
Eric Bross,1
Simon Curtis,1
Ava DuVernay,1
Bob Saget,1
Jason Stone,1
Steve McQueen,1
Jeannot Szwarc,1
Daisy von Scherler Mayer,1
David DeCoteau,1
Rodrigo Cortés,1
Bob Odenkirk,1
Mark Brown,1
Denzel Washington,1
Xavier Gens,1
Juan José Campanella,1
John Curran,1
Rowan Joffe,1
Craig Moss,1
Sam Miller,1
Dennis Iliadis,1
Richard Kwietniowski,1
Blake Edwards,1
Ed Harris,1
Julian Schnabel,1
Kurt Wimmer,1
Peter Hedges,1
William Malone,1
J.A. Bayona,1
Joseph Kahn,1
Frederik Du Chau,1
Justin Chadwick,1
Christian Duguay,1
Josh Gordon,1
Mike Figgis,1
Mitch Davis,1
Dave Green,1
Colin Strause,1
Lynne Ramsay,1
Travis Legge,1
Wes Ball,1
Ryan Murphy,1
Hideaki Anno,1
David McNally,1
Kirk De Micco,1
Steven Zaillian,1
Sam Taylor-Johnson,1
Nick Love,1
Patrick Stettner,1
Morgan J. Freeman,1
Griffin Dunne,1
Jerry Jameson,1
Daniel Lee,1
Christian Alvart,1
DJ Pooh,1
Clark Johnson,1
Michael Tollin,1
Kevin Munroe,1
Irvin Kershner,1
Tony Richardson,1
Randall Miller,1
Ryan Coogler,1
Michael Cuesta,1
David Leland,1
Rodrigo García,1
Fenton Bailey,1
Jeb Stuart,1
Jeremy Saulnier,1
Luis Mandoki,1
Mike Mills,1
Cédric Klapisch,1
William Kaufman,1
Allison Anders,1
Roger Avary,1
Will Finn,1
Ernie Barbarash,1
Joon-ho Bong,1
Geoffrey Sax,1
Evan Goldberg,1
Julie Anne Robinson,1
Shari Springer Berman,1
George Armitage,1
John Huston,1
Patrick Read Johnson,1
Costa-Gavras,1
David Hewlett,1
Simon Wells,1
Peter Webber,1
Andrew Bergman,1
Kevin Bray,1
Jimmy Hayward,1
Steven Quale,1
Jon Hurwitz,1
Mark Osborne,1
Zal Batmanglij,1
Tommy Wirkola,1
Angela Robinson,1
Peter Lord,1
Bennett Miller,1
Joe Roth,1
Karyn Kusama,1
Ron Maxwell,1
Dan O'Bannon,2
George Roy Hill,2
Phyllida Lloyd,2
Matt Birch,2
Walter Lang,2
John Herzfeld,2
Deepa Mehta,2
Stuart Baird,2
Chris Miller,2
Mark Pellington,2
Zach Braff,2
Mark Steven Johnson,2
Alan Taylor,2
Michael Cimino,2
Scott Stewart,2
Brian Gibson,2
Ben Affleck,2
Oren Peli,2
Danny Pang,2
Billy Bob Thornton,2
Sean Penn,2
Paul Andrew Williams,2
Mathieu Kassovitz,2
John A. Davis,2
Joel Zwick,2
Harald Zwart,2
Luis Llosa,2
Jonas Åkerlund,2
Andrew Erwin,2
Ted Kotcheff,2
Gil Junger,2
Michael Lembeck,2
Michael Rymer,2
Matty Rich,2
Lawrence Guterman,2
Eric Brevig,2
Chris Noonan,2
Rian Johnson,2
Ericson Core,2
Tom Vaughan,2
J.B. Rogers,2
Ariel Vromen,2
Troy Duffy,2
Hyung-rae Shim,2
Ken Scott,2
François Ozon,2
John Luessenhop,2
Steve James,2
Danny Cannon,2
Jacques Perrin,2
Oliver Hirschbiegel,2
John Carney,2
Michael Corrente,2
Hugh Hudson,2
Steve Martino,2
David Mamet,2
Joel Paul Reisig,2
Lee Toland Krieger,2
Mick Jackson,2
Charles Stone III,2
Alan J. Pakula,2
Andrey Konchalovskiy,2
Genndy Tartakovsky,2
Kevin Lima,2
Roger Allers,2
Brett Leonard,2
Tate Taylor,2
Jesse Peretz,2
Phil Joanou,2
Bob Fosse,2
Tom Hanks,2
Sylvester Stallone,2
John R. Leonetti,2
Mike Flanagan,2
Chris Stokes,2
Tim McCanlies,2
